VAR, VAR
n, TK_ID
,, SIMB_VIRGULA
fat, TK_ID
;, SIMB_PONT_VIRG
PROCEDURE, PROCEDURE
fatorial, TK_ID
;, SIMB_PONT_VIRG
BEGIN, BEGIN
fat, TK_ID
:, ERRO_ATRIB_MAL_FORMADO
1, TK_NUM_INT
;, SIMB_PONT_VIRG
WHILE, WHILE
n, TK_ID
>=, SIMB_MAIOR_IGUAL
1, TK_NUM_INT
DO, DO
BEGIN, BEGIN
fat, TK_ID
:=, TK_ATRIBUICAO
fat, TK_ID
!, SIMB_NAO_IDENTIFICADO
n, TK_ID
;, SIMB_PONT_VIRG
n, TK_ID
:=, TK_ATRIBUICAO
n, TK_ID
-, SIMB_SUB
1, TK_NUM_INT
@, SIMB_NAO_IDENTIFICADO
;, SIMB_PONT_VIRG
END, END
{comentario com, ERRO_COMENT_MAL_FORMADO
quebra, TK_ID
de, TK_ID
linha, TK_ID
}, ERRO_COMENT_MAL_FORMADO
END, END
;, SIMB_PONT_VIRG
BEGIN, BEGIN
n, TK_ID
:=, TK_ATRIBUICAO
4, TK_NUM_INT
;, SIMB_PONT_VIRG
CALL, CALL
fatorial, TK_ID
END, END
., SIMB_PONTO
