VAR, VAR
n, TK_ID
,, SIMB_VIRGULA
fat, TK_ID
;, SIMB_PONT_VIRG
BEGIN, BEGIN
n, TK_ID
:, ERRO_ATRIB_MAL_FORMADO
45, TK_NUM_INT
;, SIMB_PONT_VIRG
fat, TK_ID
:=, TK_ATRIBUICAO
1, TK_NUM_INT
;, SIMB_PONT_VIRG
WHILE, WHILE
n, TK_ID
<, SIMB_NAO_IDENTIFICADO
!, SIMB_NAO_IDENTIFICADO
1, TK_NUM_INT
DO, DO
BEGIN, BEGIN
fat, TK_ID
:=, TK_ATRIBUICAO
fat, SIMB_NAO_IDENTIFICADO
*, SIMB_NAO_IDENTIFICADO
n, TK_ID
;, SIMB_PONT_VIRG
n, TK_ID
:=, TK_ATRIBUICAO
n, TK_ID
-, SIMB_SUB
1, TK_NUM_INT
;, SIMB_PONT_VIRG
END, END
{teste comentario}, COMENTARIO
END, END
., SIMB_PONTO
